src 10.0.1.10,src 10.0.1.30,src 10.0.1.70,src 10.0.1.170,src 10.0.2.20,src 10.0.2.80,src 10.0.2.160,src 10.0.2.180,dst 10.0.1.10,dst 10.0.1.30,dst 10.0.1.70,dst 10.0.1.170,dst 10.0.2.20,dst 10.0.2.80,dst 10.0.2.160,dst 10.0.2.180,dst 10.0.2.200,Lenght Tot.Pkt,Lenght Avg,Lenght Std,Total #Pkt,TCP #Pkt,UDP #Pkt,HTTP #Pkt,ICMP #Pkt,TCP Bytes,UDP Bytes,HTTP Bytes,ICMP Bytes,Syn Flag,Ack Flag,SynAck Flag,Psh Flag,Rst Flag,Fin Flag,Urg Flag,Class
2,15,0,0,4,14,0,0,4,14,0,0,2,15,0,0,0,62537,31268.5,31268.5,35,33,2,29,0,59681,2856,58473,0,2,32,1,14,0,2,0,0
4,15,0,0,4,14,0,0,4,14,0,0,4,15,0,0,0,62289,41608.667,29421.945,37,35,1,29,1,60285,1428,58473,576,2,34,1,15,0,2,0,0
4,15,0,0,6,14,0,0,6,14,0,0,4,15,0,0,0,65145,47492.75,27442.766,39,35,3,29,1,60285,4284,58473,576,2,34,1,15,0,2,0,0
3,17,0,0,3,12,0,0,3,12,0,0,3,17,0,0,0,61685,50331.2,25193.482,35,33,1,29,1,59681,1428,58473,576,2,32,1,17,0,2,0,0
5,15,0,0,5,14,0,0,5,14,0,0,5,15,0,0,0,64293,52658.167,23579.655,39,35,2,29,2,60285,2856,58473,1152,2,34,1,15,0,2,0,0
4,15,0,0,6,14,0,0,6,14,0,0,4,15,0,0,0,65145,54442,22263.511,39,35,3,29,1,60285,4284,58473,576,2,34,1,15,0,2,0,0
3,15,0,0,3,14,0,0,3,14,0,0,3,15,0,0,0,61685,55347.375,20962.916,35,33,1,29,1,59681,1428,58473,576,2,32,1,14,0,2,0,0
4,15,0,0,6,14,0,0,6,14,0,0,4,15,0,0,0,65145,56436,20002.44,39,35,3,29,1,60285,4284,58473,576,2,34,1,15,0,2,0,0
2,17,0,0,2,12,0,0,2,12,0,0,2,17,0,0,0,59681,56760.5,19000.935,33,33,0,29,0,59681,0,58473,0,2,32,1,15,0,2,0,0
4,12,0,0,6,13,0,0,6,13,0,0,4,12,0,0,0,64937,57503.818,18268.534,35,31,3,25,1,60077,4284,58265,576,2,30,1,13,0,2,0,0
